,date,ML,Low,High
AP,2020-03-26,2.0,0.34,6.43
AP,2020-03-27,1.8800000000000001,0.38,5.01
AP,2020-03-28,1.8,0.38,4.45
AP,2020-03-29,2.05,0.5,4.54
AP,2020-03-30,1.8900000000000001,0.47000000000000003,3.98
AP,2020-03-31,1.78,0.48,3.67
AP,2020-04-01,1.8900000000000001,0.54,3.62
AP,2020-04-02,1.8900000000000001,0.09,3.52
AP,2020-04-03,1.95,0.25,3.52
AP,2020-04-04,1.93,0.36,3.39
AP,2020-04-05,2.15,0.73,3.49
AP,2020-04-06,2.27,1.07,3.45
AP,2020-04-07,2.37,1.35,3.35
AP,2020-04-08,2.21,1.35,3.0700000000000003
AP,2020-04-09,2.11,1.37,2.87
AP,2020-04-10,1.87,1.2,2.54
AP,2020-04-11,1.76,1.16,2.38
AP,2020-04-12,1.54,0.97,2.11
AP,2020-04-13,1.42,0.87,1.95
AP,2020-04-14,1.24,0.71,1.76
AP,2020-04-15,1.11,0.6,1.6400000000000001
AP,2020-04-16,0.93,0.39,1.43
AP,2020-04-17,0.86,0.33,1.3900000000000001
AP,2020-04-18,0.74,0.21,1.29
AP,2020-04-19,0.74,0.19,1.3
AP,2020-04-20,0.79,0.21,1.35
AP,2020-04-21,1.02,0.44,1.6
AP,2020-04-22,1.23,0.67,1.8
AP,2020-04-23,1.56,1.04,2.1
AP,2020-04-24,1.6600000000000001,1.17,2.14
AP,2020-04-25,1.68,1.23,2.12
AP,2020-04-26,1.6300000000000001,1.23,2.06
AP,2020-04-27,1.49,1.12,1.9000000000000001
AP,2020-04-28,1.36,0.99,1.73
AP,2020-04-29,1.28,0.93,1.6500000000000001
AP,2020-04-30,1.1300000000000001,0.79,1.5
BA,2020-03-10,2.0,0.34,6.43
BA,2020-03-11,1.8800000000000001,0.38,5.01
BA,2020-03-12,1.8,0.38,4.45
BA,2020-03-13,2.05,0.5,4.54
BA,2020-03-15,2.17,0.61,4.33
BA,2020-03-16,2.16,0.68,4.01
BA,2020-03-17,2.1,0.72,3.69
BA,2020-03-18,1.85,0.23,3.34
BA,2020-03-19,1.85,0.33,3.24
BA,2020-03-20,1.83,0.44,3.13
BA,2020-03-21,1.69,0.43,2.91
BA,2020-03-22,1.59,0.42,2.73
BA,2020-03-23,1.59,0.48,2.65
BA,2020-03-24,1.58,0.54,2.57
BA,2020-03-25,1.51,0.54,2.45
BA,2020-03-26,1.45,0.54,2.35
BA,2020-03-27,1.41,0.54,2.2600000000000002
BA,2020-03-28,1.46,0.63,2.2600000000000002
BA,2020-03-29,1.49,0.72,2.2600000000000002
BA,2020-03-30,1.5,0.76,2.2
BA,2020-03-31,1.44,0.77,2.14
BA,2020-04-01,1.45,0.81,2.1
BA,2020-04-02,1.46,0.85,2.07
BA,2020-04-03,1.45,0.87,2.02
BA,2020-04-04,1.41,0.87,1.97
BA,2020-04-05,1.37,0.86,1.9100000000000001
BA,2020-04-06,1.31,0.81,1.82
BA,2020-04-07,1.27,0.77,1.74
BA,2020-04-08,1.22,0.76,1.71
BA,2020-04-09,1.1400000000000001,0.68,1.61
BA,2020-04-10,1.1,0.64,1.56
BA,2020-04-11,1.05,0.59,1.5
BA,2020-04-12,1.07,0.63,1.54
BA,2020-04-13,1.1400000000000001,0.7000000000000001,1.59
BA,2020-04-14,1.26,0.8300000000000001,1.69
BA,2020-04-15,1.41,1.01,1.83
BA,2020-04-16,1.48,1.09,1.86
BA,2020-04-17,1.49,1.1300000000000001,1.86
BA,2020-04-18,1.47,1.1400000000000001,1.83
